分類,品目名,料金
電気・ガス・石油・厨房器具,【アンテナ】パラボラ・BS・CS,400円 【A券】x2
電気・ガス・石油・厨房器具,アイロン台,400円 【A券】x2
家具・寝具・建具,◆アコーデオンカーテン,700円 【A券】x2 【B券】x1
その他・作業用具,10kg以下の健康器具（脚),400円 【A券】x2
その他・作業用具,10kg超過の健康器具（脚),700円 【A券】x2 【B券】x1
家具・寝具・建具,◇雨どい,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆編み機,400円 【A券】x2
その他・作業用具,◆編み機,400円 【A券】x2
その他・作業用具,アンテナ,400円 【A券】x2
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ６０センチ以下,400円 【A券】x2
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ６０センチ超過１２０以下,700円 【A券】x2 【B券】x1
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ１２０センチ超過,"1,200円 【B券】x4"
家具・寝具・建具,◆【衣装箱】,400円 【A券】x2
家具・寝具・建具,◆【衣装箱】収納箱（プラスチック製等）,400円 【A券】x2
家具・寝具・建具,◆【衣装箱】茶箱,400円 【A券】x2
家具・寝具・建具,【椅子】応接用以外,400円 【A券】x2
家具・寝具・建具,【椅子】応接用椅子（一人掛け）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】応接用椅子（二人以上掛け）,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【椅子】折りたたみ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】子供学習用椅子,400円 【A券】x2
家具・寝具・建具,【椅子】座椅子（回転式）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】座椅子（一人掛け）,400円 【A券】x2
家具・寝具・建具,【椅子】座椅子（二人掛け）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】スツール椅子,400円 【A券】x2
家具・寝具・建具,【椅子】ソファー・ローソファー（一人掛け）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】ソファー・ローソファー（二人掛け以上）,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【椅子】テーブル椅子,400円 【A券】x2
家具・寝具・建具,【椅子】長椅子,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】パイプ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】ピアノ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】リクライニングチェアー,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】ロッキングチェアー,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】OAチェアー,700円 【A券】x2 【B券】x1
家具・寝具・建具,衣類乾燥機の台,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇植木棚（最大辺１００㎝未満）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇植木棚（最大辺１００㎝以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇植木鉢（直径、最大辺３０㎝以上）,400円 【A券】x2
電気・ガス・石油・厨房器具,【トイレ】ウォシュレット、温水便座,400円 【A券】x2
電気・ガス・石油・厨房器具,映写機,700円 【A券】x2 【B券】x1
家具・寝具・建具,◇縁台（最大辺９０㎝未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,◇縁台（最大辺９０㎝以上）,"2,100円 【B券】x7"
電気・ガス・石油・厨房器具,【オーディオ機器】その他,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】アンプ,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】イコライザー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】MD,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】カセット,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】CD,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】タイマー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】チューナー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】レコードプレーヤー,400円 【A券】x2
電気・ガス・石油・厨房器具,オーブントースター・トースター※30㎝以上のもの,400円 【A券】x2
電気・ガス・石油・厨房器具,オーブンレンジ,"1,200円 【B券】x4"
趣味・スポーツ・レジャー用品,◇置物・飾り物（最大辺５０㎝未満）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇置物・飾り物（最大辺５０㎝以上）,700円 【A券】x2 【B券】x1
その他・作業用具,◇おけ・樽・たらい、バケツ,400円 【A券】x2
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が180cm未満）,400円 【A券】x2
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が180cm以上240cm未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が240cm以上310cm未満）,"1,200円 【B券】x4"
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が310cm以上）,"2,100円 【B券】x7"
家具・寝具・建具,カーテン（５枚まで）,400円 【A券】x2
家具・寝具・建具,◇カーテンレール（５本以内）,400円 【A券】x2
家具・寝具・建具,◇カウンター（最大辺１２０㎝未満）,"1,200円 【B券】x4"
家具・寝具・建具,◇カウンター（最大辺１２０㎝以上）,"2,100円 【B券】x7"
家具・寝具・建具,◇カウンター天板,400円 【A券】x2
その他・作業用具,◇鏡、ガラス板（最大辺９０㎝未満）,400円 【A券】x2
その他・作業用具,◇鏡、ガラス板（最大辺９０㎝以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇額縁,400円 【A券】x2
その他・作業用具,かご類（水切り、自転車、洗濯、脱衣等）,400円 【A券】x2
その他・作業用具,◇傘立て,400円 【A券】x2
電気・ガス・石油・厨房器具,ガス台・調理台・レンジ台,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ガステーブル・ガスコンロ,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】エレキギター,400円 【A券】x2
