分類,品目名,料金
電気・ガス・石油・厨房器具,【アンテナ】パラボラ・BS・CS チューナーは別受付となります。,400円 【A券】x2
電気・ガス・石油・厨房器具,アイロン台 30センチを超える「アイロン」は受付センターでお申し込み下さい。,400円 【A券】x2
家具・寝具・建具,アコーデオンカーテン 最大辺が２００ｃｍを超えるものは、切断の上お出し下さい。,700円 【A券】x2 【B券】x1
その他・作業用具,10kg以下の健康器具（脚) 10kg未満の脚を鍛える健康器具(重さをご確認いただきお申し込みください)ランニングマシン・ウォーキングマシンは別品目です。,400円 【A券】x2
その他・作業用具,10kg超過の健康器具（脚) 10kg以上の脚を鍛える健康器具(重さをご確認いただきお申し込みください)ランニングマシン・ウォーキングマシンは別品目です。,700円 【A券】x2 【B券】x1
家具・寝具・建具,雨どい いずれか一辺でも200㎝を超えるものは収集できません。切断等をして200㎝以下にしてください。,400円 【A券】x2
趣味・スポーツ・レジャー用品,編み機,400円 【A券】x2
その他・作業用具,編み機,400円 【A券】x2
その他・作業用具,アンテナ BS、CS、パラボナアンテナ,400円 【A券】x2
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ６０センチ以下 素材が概ねプラスチック製、引き出しが付いているもので高さ６０センチ以下のもの（引き出し付き衣装ケースなどの収納家具、プラスチック製の隙間家具）注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ６０センチ超過１２０以下 素材が概ねプラスチック製、引き出しが付いているもので高さ６０センチ超過１２０以下のもの （引き出し付き衣装ケースなどの収納家具、プラスチック製の隙間家具）注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【収納家具】プラスチック製 引き出し付き 高さ１２０センチ超過 素材が概ねプラスチック製、引き出しが付いているもので高さ１２０センチ超過のもの （引き出し付き衣装ケースなどの収納家具、プラスチック製の隙間家具）注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
家具・寝具・建具,【衣装箱】 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【衣装箱】収納箱（プラスチック製等） 商品1個ごとの受付になります。複数のものをテープや紐で縛らずに1個ごとにシールをお貼りください。★引き出しが付いているものは『【収納家具】プラスチック製引き出し』でお申し込みください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【衣装箱】茶箱 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【椅子】応接用以外 ベビーチェアーはこの品目でお申し込みください。,400円 【A券】x2
家具・寝具・建具,【椅子】応接用椅子（一人掛け）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】応接用椅子（二人以上掛け） 最大辺が２００ｃｍを超えるものは、解体の上お出し下さい。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【椅子】折りたたみ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】子供学習用椅子 キャスター付きは「OAチェアー」です。,400円 【A券】x2
家具・寝具・建具,【椅子】座椅子（回転式） ビーズクッションは破れがないか確認の上、透明の袋に収めてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】座椅子（一人掛け）,400円 【A券】x2
家具・寝具・建具,【椅子】座椅子（二人掛け）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】スツール椅子 背もたれのないタイプの椅子です。オットマン。,400円 【A券】x2
家具・寝具・建具,【椅子】ソファー・ローソファー（一人掛け） 一人しか座れないもの,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】ソファー・ローソファー（二人掛け以上） 分割できる場合はそれぞれの大きさで1点ずつ登録してください。 ソファーベッドは「ソファーベッド」でお申し込みください。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【椅子】テーブル椅子,400円 【A券】x2
家具・寝具・建具,【椅子】長椅子,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】パイプ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】ピアノ椅子,400円 【A券】x2
家具・寝具・建具,【椅子】リクライニングチェアー,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】ロッキングチェアー,700円 【A券】x2 【B券】x1
家具・寝具・建具,【椅子】OAチェアー キャスター付きの椅子,700円 【A券】x2 【B券】x1
家具・寝具・建具,衣類乾燥機の台,400円 【A券】x2
趣味・スポーツ・レジャー用品,植木棚（最大辺１００㎝未満）,400円 【A券】x2
趣味・スポーツ・レジャー用品,植木棚（最大辺１００㎝以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,植木鉢（直径、最大辺３０㎝以上） 中身は空にしてお出しください。中身に付属品以外の物や土がある場合回収を見送らせて頂きます。,400円 【A券】x2
電気・ガス・石油・厨房器具,【トイレ】ウォシュレット、温水便座,400円 【A券】x2
電気・ガス・石油・厨房器具,映写機,700円 【A券】x2 【B券】x1
家具・寝具・建具,縁台（最大辺９０㎝未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,縁台（最大辺９０㎝以上）,"2,100円 【B券】x7"
電気・ガス・石油・厨房器具,【オーディオ機器】その他,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】アンプ 楽器用のアンプは、「スピーカー(楽器用アンプ)」でお申し込みください。,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】イコライザー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】MD,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】カセット,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】CD,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】タイマー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】チューナー,400円 【A券】x2
電気・ガス・石油・厨房器具,【オーディオ機器】レコードプレーヤー,400円 【A券】x2
電気・ガス・石油・厨房器具,オーブントースター・トースター※30㎝以上のもの 30cm未満のものは「陶器・ガラス・金属類」の日にお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,オーブンレンジ,"1,200円 【B券】x4"
趣味・スポーツ・レジャー用品,置物・飾り物（最大辺５０㎝未満）,400円 【A券】x2
趣味・スポーツ・レジャー用品,置物・飾り物（最大辺５０㎝以上）,700円 【A券】x2 【B券】x1
その他・作業用具,おけ・樽・たらい、バケツ 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が180cm未満） （素材が概ね木材で出来ていて、３辺の合計が180cm未満のもの） オーディオラック、カラーボックス、机上の本棚、キャビネット、下駄箱、サイドボード、書棚、食器棚、たんす、チェスト・ローチェスト、ローボード、茶だんす、テレビ台、電話台、戸棚、ベランダストッカー、ベンチチェスト、本棚、洋服など注：引き出しや中身に付属品以外の物がある場合回収不可。※解体された場合は部品も含めまとめてください,400円 【A券】x2
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が180cm以上240cm未満） （素材が概ね木材で出来ていて、３辺の合計が180cm以上240cm未満のもの） オーディオラック、カラーボックス、机上の本棚、キャビネット、下駄箱、サイドボード、書棚、食器棚、たんす、チェスト・ローチェスト、ローボード、茶だんす、テレビ台、電話台、戸棚、ベランダストッカー、ベンチチェスト、本棚、洋服だんす、など注：引き出しや中身に付属品以外の物がある場合回収不可。※解体された場合は部品も含めまとめてください,700円 【A券】x2 【B券】x1
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が240cm以上310cm未満） （素材が概ね木材で出来ていて、３辺の合計が240cm以上310cm未満のもの） オーディオラック、カラーボックス、机上の本棚、キャビネット、下駄箱、サイドボード、書棚、食器棚、たんす、チェスト・ローチェスト、ローボード、茶だんす、テレビ台、電話台、戸棚、ベランダストッカー、ベンチチェスト、本棚、洋服だんす、など注：引き出しや中身に付属品以外の物がある場合回収不可。※解体された場合は部品も含めまとめてください,"1,200円 【B券】x4"
家具・寝具・建具,【箱物家具】木製（縦、横、奥行き３辺の合計が310cm以上） （素材が概ね木材で出来ていて、３辺の合計が310cm以上のもの） オーディオラック、カラーボックス、机上の本棚、キャビネット、下駄箱、サイドボード、書棚、食器棚、たんす、チェスト・ローチェスト、ローボード、茶だんす、テレビ台、電話台、戸棚、ベランダストッカー、ベンチチェスト、本棚、洋服だんす、など注：引き出しや中身に付属品以外の物がある場合回収不可。※解体された場合は部品も含めまとめてください,"2,100円 【B券】x7"
家具・寝具・建具,カーテン（５枚まで） ５枚まで（一束にしてお出しください）※アコーデオンカーテンは別品目のお申し込みになります（アコーデオンカーテン700円）,400円 【A券】x2
家具・寝具・建具,カーテンレール（５本以内） ５本まで（１束にしてお出しください）,400円 【A券】x2
家具・寝具・建具,カウンター（最大辺１２０㎝未満） 注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
家具・寝具・建具,カウンター（最大辺１２０㎝以上） 注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。,"2,100円 【B券】x7"
家具・寝具・建具,カウンター天板,400円 【A券】x2
その他・作業用具,鏡、ガラス板（最大辺９０㎝未満）,400円 【A券】x2
その他・作業用具,鏡、ガラス板（最大辺９０㎝以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,額縁,400円 【A券】x2
その他・作業用具,かご類（水切り、自転車、洗濯、脱衣等） 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
その他・作業用具,傘立て 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
